review,user,verification,date,length
Osmmm,Farcry3413,Verified Purchase,2024-02-22,5
"Never been an apple fan. So in the android world this is the best, no doubts. Comparing the camera quality of Samsung s23 ultra and iPhone 14 pro max, s23 ultra is way better. My friends with iPhone 14 ultra always ask for my phone to click photos.",Prasada reddy padala,Verified Purchase,2024-02-03,248
High price,Sammy,Verified Purchase,2023-05-07,10
"It's simply perfect.  This exactly meets my expectations, a very high quality phone which is nothing more and nothing less than a mini computer.",Sammy,Verified Purchase,2023-07-03,144
Liked.,amit,Verified Purchase,2024-02-08,6
Good phone with good camera,amit,Verified Purchase,2024-01-03,27
This smartphone is a beast is all aspects.,Aditya Sharma,Verified Purchase,2023-11-30,42
Heating problem,Prasada reddy padala,Verified Purchase,2023-12-30,15
The media could not be loaded.,AMEZING AND VERY HELPFUL,Verified Purchase,2024-01-11,30
The pictures are crisp. They don't look less than any dslr camera. In love with the look of this phone. Steel coated side bezels are stunning. I wasn't confident about choosing this color but now I'm in love with it too. Photos in telephoto mode are a little grainy. Normal mode is way more better. Phone heats up after 20 minutes of nonstop use. Battery life lasts for a day so its ok ok. No other problem so far. Setting up this phone was so easy. Touch test went smooth like butter. Thanks a lot amazon for the coupon and card offers. ❤️😇,Bose,Verified Purchase,2023-10-25,541
"U have a spend 1lac for this phone, not worthy b/c1. Wrost Battry backup in single charged not running full day (with power saving mode) without power saving mode battery not running half day, all flagship phone of Samsung this same problem. Samsung not resolved this problem last 2~3 years2. Heating problem, every time use camera with in 5 min. phone heatted, after this phone brightness is full, u have to close ur camera quicklySamsung pls. resolved this problem.",Niteesh,Verified Purchase,2023-12-26,467
A device which surely going to be in the books of legends of smartphone... Great product even though the pricing should have been more aggressive,Subramani,Verified Purchase,2023-10-24,145
"I got this phone just before making an international Trip. The phone served me really well. It's been super smooth and I've received a lot of compliments for my photos (Hey maybe that's also some part due to my skill, yes?).But the phone has a great battery life, quite often I'd come back home with around 50% battery (with BT and Loc on).  Mostly not with Power Saver on, but I did keep it on on some days initially.I hardly use the S-pen, mostly due to no habit, but it seems a cool addition for those with smaller hands. For me, I have giant Hands, so i can easily use the entire phone with my two hands.I would recommend this phone if you are looking for a premium product. The specifications obviously show a significant difference between the Ultra and the normal Samsung S23.",Placeholder,Verified Purchase,2023-10-12,783
"The phone is one of the best Android phone available in the market. Great battery life easily lasts a day even after heavy usage and constant mobile data on.Camera is really above the expectations, and the zoom quality is unmatched.It will easily lasts for 3-4 yrs given its constant updates and Android upgrades.",Amazon Customer,Verified Purchase,2023-11-14,313
"I'm in love with the quality of images clicked on this phone. As a traveler, it comes very handy to click pictures instantly. 10X on this phone is the best thing ever. I am able to click amazing bird shots which makes it hard for people to believe that those are captured on phone. Battery life is outstanding.Only thing I am not that satisfied with this phone is not a great focus when you get close to subject, macro shots aren't that great compared to iphone 14 pro. Rest everything just perfect.",Amazon Customer,Verified Purchase,2023-05-07,499
"Until samsung releases S24 Ultra. This will top every spec sheet and benchmark tests. What samsung does, Apple can never !",Anuj Nigam,Verified Purchase,2023-07-03,122
"I was using in an iphone 13 and i was planing to switch to android. When i checked s23 ultra was one of the choice. Its high ended at every level, like screen is awsome, then the processioning, cameras are at next level. If you are plaining to by, go for it. Highly recommented.",Dr. Manoj Kr Mandal,Verified Purchase,2023-12-06,278
"Far better than iphone in terms of everything. And i heard everyone talking about iphones video recording is better, just try this phone and you will understand. I didn't compare it with iphone in video recording but its the best ive ever seen on an android and in photography this one is the clear winner that i can confidently say. Portrait is damn good",H H Honakeri.,Verified Purchase,2023-07-02,355
"+ unmatched S-Pen that is useful+ Fantastic camera - best I have experienced+ Green is not my favorite color but on S23 ultra it looks awesome. Premium finish+ Big and beautiful display with thin bezels and tiny front camera hole. Great choice for OTT+ feels good and light in hand+ 5G with strong network connectivity+ Samsung UI is clean, no bloatware, Ads, and bugs.  Good customization options+ PERFORMANCE is best+ Samsung watch, earbuds, etc works well together- High price. SAMSUNG MUST MAKE THIS AFFORDABLE. At may be 80K sales can be more than 10 times- Strong competition offering better value (like 80% features at 50% price)",H H Honakeri.,Verified Purchase,2023-11-23,636
"Everything is great except finger print unlock and face unlock, my previous oppo phone is much faster than this",Gautam,Verified Purchase,2023-06-07,111
"I am already using a s23 and bought this one because of all the praise it's receiving. Have to say that the reviews are almost right about this phone. But I honestly feel that for half the price, vanilla s23 is a far more value for money product than this one. If you like or even okay with smaller phones, s23 just makes more sense. I bought the s23 for 46k after exchanging 3 month old moto edge 30 and s23 ultra for 87k after exchanging 4 month old pixel 6a. One thing I can assure you is that one ui is addictive",Aditya Sharma,Verified Purchase,2023-10-26,516
"Very good phone as we can expect this at the price, S pen will give u a very higher feeling, camera, display, sound all are too good. I brought it at Rs. 109000/- after exchanging my broken oneplus display wala phone at 5000 + 10000 extrq discount. Actually price they are gaking now is too much, after an year it will drop down a lot, so my suggestion will be, if u can wait, then you can buy at a very lower price.",Prasada reddy padala,Verified Purchase,2023-09-10,416
"I am not an avid phone user, for me this one is way beyond what I really need from a phone, its artificial but yea you can capture moon, its fun to see how the AI detects moon and artificially replace the moon image. camera is outstanding, performance is mind blowing never have to even think of the word hang, battery is awesome for my usage almost 2 days, only drawback(not a drawback in fact) is its big.",Adil Shaikh,Verified Purchase,2023-07-28,407
I am enjoying every moment with my phoneThe camera is top notch and there is no single cons to mention by far this is the best android phone available  in market now,Rohan,Verified Purchase,2023-03-07,165
I HAD THIS DREAM OF USING GALAXY NOTE FROM CHILDHOOD I WAS USING ONEPLUS 6T MCLAREN EDITION BEFORE IT LASTED FOR 5 YEARS STILL WORKING I WAS UANBLE TO CHOOSE WHICH PHONE TO GET ONEPLUS WAS NOT GOOD LIKE BEFORE SO DECIDED TO GIVE A TRY TO MY DREAM PHONEFINALLY HAPPY WITH ITTHE CAMERA DISPLAY SPEN ALL FEATURES ARE OUTSTANDING I LIKE THE BATTERY LIFE PRETTY GOOD,Tezash s.,Verified Purchase,2023-08-10,361
"When it comes to the Galaxy S23 Ultra's outstanding capabilities, the camera is merely the tip of the iceberg. The gadget is really quick and has a potent CPU that can easily handle even the most taxing programmes and games. With its spectacular 6.8-inch Dynamic display, which offers stunning images and vivid colours that make everything from streaming video to browsing the web enjoyable, the device is truly stunning.",Tezash s.,Verified Purchase,2023-03-11,421
A smart phone thats worth the hype. Beats the competition with its features. I'm expecting some features to be fine tuned in future updates.,sravanthi,Verified Purchase,2023-05-07,140
"Samsung ultra S23 is beast phone from Samsung, it has awesome battery backup, display,UI, performance...etc.I moved from Iphone 12 to S23U and data migration was seamless with help smart switch app. 100% all the data is migrated to S23U.Camera & display is world class. I am loving it",Dinesh,Verified Purchase,2023-07-03,284
Awesome camera and features but fingerprint sensor sucks. It always fails to read fingerprint and says fingerprint doesnt match. Phone unlocks in 3rd or 4th try everytime.,Amazon Customer,Verified Purchase,2023-06-04,171
Bought it after replacing S22 ultra trusted samsung one more time with this so far its good ...the biggest complain of 22Ultra  i.e. battery life is no longer in this one...Photos also looks quite impoved since 22Ultra..Edit :- battery life is crazy good 10 hours of SOT with Quad Hd resolution and 120Hz and dark theme my S22 ultra was at 30% just after 5 hrs of SOT loving it will use 23 ultra atleast for 3 years,Yoyo,Verified Purchase,2023-05-12,415
"After around 4.5 years of extensive one plus 6T usage, finally I decided go for a new phone and did a pre-booking of Samsung s23 ultra.Here I am writing this review with no regrets on my decision ever. Very happy with the one UI experience, super smooth OS and performance, extensive battery life ,unbeatable camera quality, Display and gaming experience. Just go for it guys if you don't have a budget barrier.",SJ,Verified Purchase,2023-09-12,411
"I am coming from s20 fe 5g, everything feels like an upgrade, the screen, the build,  the display, the battery, the speakers. The only think that is still taking time to get used to is the size of it, it's a huge phone, wished it was a tad smaller to like 6.3inch and it would have been in a sweet spot for one hand use. This is the phone to last for several years to come without needing any upgrades.",zear,Verified Purchase,2023-05-21,402
The media could not be loaded.,Rajesh,Verified Purchase,2023-05-06,30
Nice premium feel.,Aditya Sharma,Verified Purchase,2023-05-16,18
"This mobile is expensive but comes with lot of features too. I don't like few things, when purchasing such costly mobile and not get the extra goodies feels bad. No travel adapter, no buds,no jack for wire headphones. Disappointing. Some people like me are first time buyers for fast charging.",Prasada reddy padala,Verified Purchase,2023-07-19,293
The phone is just amazing..User experience is awesome.. it.Loving,SAURAV DAS,Verified Purchase,2023-05-05,65
You can buy it if you can afford it but be sure to protect it as it comes with hefty price. If you are coming from iPhone and want to copy all photos then do it at the time of setting up. I found the battery is regular if we clone iPhone data. If we setup as a fresh phone then it may give good battery life.,SAURAV DAS,Verified Purchase,2023-03-20,308
I'm very satisfied with the product .mine is s23 512gb .I'm also very great full as they delivered phone 3 days earlier with safe and sound.,Sarath,Verified Purchase,2023-03-25,140
Upgraded from my galaxy note 9 and I am liking the performance. The camera is easily the highlight of this phone. It takes stunning photos and videos. The ultra series has kept the legacy of the note series alive by keeping the s-pen and bringing the best hardware in the market. I would recommend this phone to anyone who is looking for a flagship device with best on the market hardware,vishnu,Verified Purchase,2023-05-07,388
My phone slept from.my hand and drop from 4 feet and screen totally damaged. Its gorila glas vicrus then how its posssible. Screen quality is very poor. Samsung pls make better quality.phones as you charge 1.25 lakh for yhe same,Dinesh,Verified Purchase,2023-07-03,228
"This is my first Samsung  phone. I shifted from One plus 10 to Galaxy S23 ultra and I must say it is the best decision I made to switch for S23 ultra. Great picture quality, super fast processing, build quality is perfect. Camera is the best.",Gitimaya,Verified Purchase,2023-03-15,242
"Switched from iPhone 12 pro max to S23 Ultra for some reason. S23 Ultra is superfast, stylish and has very big screen but feeling somewhat inconvenient who used to iPhone. No regret for buying.",Placeholder,Verified Purchase,2023-11-28,193
Camera takes blur picture with 200 mp and 50 mp.,Placeholder,Verified Purchase,2023-06-04,48
Got it fir 67000 with great exacnge value for my old phone ..,Siddharth Singhal,Verified Purchase,2023-10-09,61
Happily switched from iphone 13 pro max.Its a joy to hold this phone and use it.My iphone had become useless coz i was not taking pictures anymore from the iphone from the day i got S23 ultra.Best displayBest batteryBest cameraBest speakerBest softwareBest software supportBest customisation ( good lock)Best network reception,Amit,Verified Purchase,2023-03-19,326
"Always wondered when samsung will ditch Exynos for Snapdragon for Flagship phones, and finally Snapdragon for Galaxy, no over heating and better optimised phone, battery last almost 36 to 48 hours with normal usage,  I miss the curve edge but it has his own advantage but rest features compensate enough...Thanx Sammy n Amz for the beasty product",Placeholder,Verified Purchase,2023-08-24,346
Always been fan of Galaxy note series. S23 ultra is packed with features. Great for big screen lovers. Camera is just too good. Don't need DSLR anymore...,Aditya Sharma,Verified Purchase,2023-03-08,154
i used it for more than a month now. Its just awesome for camera lovers who likes zooming and love to make reels. I made many reels with this phone. Those are superb. Just check my instagram page of sameer_abbas88 for the videos.,Prasada reddy padala,Verified Purchase,2023-06-28,229
This is first time I am using flagship and it is worthThank God i choose this over iPhone,Pratik,Verified Purchase,2023-05-06,89
the best amongst android!,Manu,Verified Purchase,2023-03-17,25
"I switched from iPhone 12 to this beast.....Believe me guys this phone is on another level...I was having few other options like 14 pro max , pixel 7 pro , one plus 11 , s23 ultra....after doing a full research I decided to buy this beast...and here I am happy with my decision 😇😇",Amazon Customer,Verified Purchase,2023-05-07,280
This is one of the best phones ever.  Totally worth its cost. I hope to use it for more than 5 years.,Sachin,Verified Purchase,2023-07-03,101
Phone pic zoom is very nice,Sachin,Verified Purchase,2023-06-09,27
"Battery life is just crazy good , got 9.5 hours of SOT from 100 to 5% , with mixed usage it will last 1.5 to 2 days. Let it take some time to learn your usage patterns.UI is butter smooth.",Momoha,Verified Purchase,2023-09-22,188
Used since 1 JulyCamera 10/10Battery 9/10Display 10/10Overall performance 9/10,Tommy,Verified Purchase,2023-03-09,78
"Master in everything...can't describe in word's, you have to experience it yourself...This smartphone is Absolute perfection... can't get anything better then this..",abhijeet chetia,Verified Purchase,2023-03-25,165
Overall super,manohar Aitlawar,Verified Purchase,2023-08-13,13
"This is best phone, samsung give his best. You experience a new tech and many features.Camera display speed better than iPhone.",Vipresh Zossalcar,Verified Purchase,2023-04-26,127
The best phone as on date that the money can buy.. extremely satisfied and would recommend to others,Nilima Pankaj Chaudhari,Verified Purchase,2023-08-07,100
Video Player is loading.,Aditya Sharma,Verified Purchase,2023-09-28,24
Play Video,Prasada reddy padala,Verified Purchase,2023-10-01,10
Play,Antas Khare,Verified Purchase,2023-03-19,4
Mute,Prabhu,Verified Purchase,2023-05-07,4
Current Time,Mohammad aftab alam,Verified Purchase,2023-07-03,12
0:00,Raj,Verified Purchase,2023-08-06,4
/,Ashwini Kumar,Verified Purchase,2023-08-28,1
Duration,Sameer Abbas,Verified Purchase,2023-04-12,8
0:12,Sumeet,Verified Purchase,2023-08-06,4
Loaded:25.03%,ritu,Verified Purchase,2023-06-21,13
Loaded,Rohit kumar,Verified Purchase,2023-04-11,6
25.03%,Rohit kumar,Verified Purchase,2023-06-28,6
Stream Type,anil j.,Verified Purchase,2023-07-10,11
"Seek to live, currently behind live",Aditya Sharma,Verified Purchase,2023-03-14,35
LIVE,Prasada reddy padala,Verified Purchase,2023-04-23,4
Remaining Time,Surabhi K.,Verified Purchase,2023-05-07,14
-,Surabhi K.,Verified Purchase,2023-07-03,1
0:12,Placeholder,Verified Purchase,2023-04-13,4
Playback Rate,Placeholder,Verified Purchase,2023-03-17,13
Chapters,KRISHANU BANERJEE,Verified Purchase,2023-03-22,8
Descriptions,Chetan chand,Verified Purchase,2023-02-28,12
descriptions off,Ishan Saxena.,Verified Purchase,2023-03-15,16
", selected",Amazon Customer,Verified Purchase,2023-08-15,10
Captions,Prashant,Verified Purchase,2023-07-25,8
Captions off,Ramakrishnan,Verified Purchase,2023-07-21,12
", selected",TheTeachingDoc,Verified Purchase,2023-08-01,10
English (Automated),,Verified Purchase,2023-06-30,19
default,,Verified Purchase,2023-05-07,7
", selected",zuhaib parvez,Verified Purchase,2023-07-03,10
Fullscreen,Aditya Sharma,Verified Purchase,2023-04-04,10
Already put my sim and writing review from this phone only so can only shoot this in front of the mirror.I am a previous note 10+ user (used iPhone 12 in between) so very glad to be back on Samsung and immersive giant screen with vivid colours. Excellent delivery from Amazon. 5star to the seller. 😍😍😍,Prasada reddy padala,Verified Purchase,2023-07-01,301
